name,year_published,min_players,max_players,play_time,min_age,users_rated,rating_average,bgg_rank,complexity_average,owned_users,mechanics
Burnside Takes Command,2003.0,2,2,120,0,31,8.45,9583,3.27,171.0,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Simulation, Zone of Control"
King,0.0,4,4,40,8,61,6.95,9584,2.0,51.0,Trick-taking
Donburiko,2013.0,2,4,15,7,110,6.32,9585,1.38,157.0,Hand Management
Slap .45,2015.0,3,7,20,10,139,6.4,9586,1.33,629.0,Action Queue
Khe Sanh '68,2015.0,1,1,0,0,97,6.47,9587,1.56,289.0,Point to Point Movement
Quackshot,1995.0,2,4,10,6,82,6.68,9588,1.0,78.0,
Ghosts of the Moor,2018.0,2,5,30,8,156,6.12,9589,1.0,240.0,"Roll / Spin and Move, Set Collection"
"Jacob Marley, Esq.",2004.0,3,6,90,10,121,6.23,9590,2.18,367.0,"Commodity Speculation, Roll / Spin and Move"
Wilderness Empires,2015.0,1,4,90,8,68,7.03,9591,2.0,232.0,"Area Majority / Influence, Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement, Team-Based Game"
Quatre Bras: Stalemate on the Brussels Road,1976.0,2,2,120,14,57,7.11,9592,2.0,137.0,Hexagon Grid
A Raging Storm,1997.0,2,2,60,12,70,6.86,9593,3.7,356.0,"Dice Rolling, Hexagon Grid, Simulation"
Strange Aeons,2009.0,2,2,45,0,43,8.24,9594,2.5,117.0,"Action Points, Campaign / Battle Card Driven, Dice Rolling, Storytelling, Variable Player Powers"
The Wilson Wolfe Affair,2017.0,1,10,0,13,43,7.93,9595,4.0,229.0,"Cooperative Game, Storytelling"
Pathogenesis (Second Edition),2019.0,1,4,60,14,57,7.19,9596,2.0,230.0,"Card Drafting, Cooperative Game, Deck Bag and Pool Building, Team-Based Game"
Flying Lead,2010.0,2,0,60,10,47,7.36,9597,2.67,149.0,Dice Rolling
Murder in Greenrock Village Theatre,2009.0,1,1,30,12,89,6.56,9598,2.8,256.0,
Animal Upon Animal: Christmas Edition,2020.0,2,4,20,5,44,7.46,9599,0.0,148.0,"Dice Rolling, Stacking and Balancing"
Quinto,1964.0,2,4,30,8,204,6.03,9600,1.87,937.0,Tile Placement
Costa Ruana,2014.0,2,6,60,8,114,6.26,9601,2.0,261.0,Area Majority / Influence
Unanimo Party,2018.0,3,12,30,10,53,7.12,9602,1.0,110.0,Paper-and-Pencil
Saga: The Crescent and The Cross,2014.0,2,4,90,0,30,8.54,9603,2.67,114.0,"Dice Rolling, Line of Sight, Simulation, Variable Player Powers"
Battle for Biternia,2018.0,2,4,90,12,47,8.01,9604,3.0,98.0,"Action Queue, Deck Bag and Pool Building, Hand Management, Point to Point Movement, Simultaneous Action Selection, Variable Player Powers"
Dig Down Dwarf (Second Edition),2017.0,2,6,30,10,84,6.75,9605,2.0,243.0,"Dice Rolling, Push Your Luck, Set Collection"
18NL,1999.0,3,6,180,14,45,7.36,9606,3.33,103.0,"Auction/Bidding, Network and Route Building, Stock Holding, Tile Placement"
Crash Test Bunnies,2019.0,2,4,20,8,90,6.53,9607,1.0,174.0,
Palacio de Viana,2010.0,2,5,75,10,62,6.9,9608,2.38,104.0,"Area Movement, Set Collection"
Spanish Main,1984.0,1,6,90,10,98,6.53,9609,2.71,242.0,
Havok & Hijinks,2014.0,2,4,15,13,127,6.78,9610,1.6,309.0,"Hand Management, Set Collection, Variable Player Powers"
Serbia the Defiant / Romania: Transylvanian Gambit,2000.0,2,2,360,12,49,7.61,9611,3.25,217.0,"Dice Rolling, Hexagon Grid"
Bar-Lev: The 1973 Arab-Israeli War,1977.0,2,2,360,16,49,7.39,9612,3.83,159.0,"Dice Rolling, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Simulation, Zone of Control"
Perplexus Twist,2013.0,1,1,0,8,63,6.91,9613,2.0,146.0,
Gruff: Stuff of Nightmares,2018.0,1,4,45,11,71,8.32,9614,2.0,235.0,"Campaign / Battle Card Driven, Card Drafting, Variable Player Powers"
Carcosa,2017.0,1,4,60,12,193,6.11,9615,2.78,496.0,"Area Majority / Influence, Solo / Solitaire Game, Team-Based Game, Tile Placement"
Zura,2018.0,2,4,30,8,75,6.83,9616,1.67,146.0,"Hand Management, Memory, Set Collection, Variable Player Powers"
Kahmaté,2008.0,2,2,30,10,107,6.31,9617,1.91,167.0,"Hand Management, Variable Player Powers"
Super Farmer,1943.0,2,6,20,7,1328,5.72,9618,1.14,1960.0,"Dice Rolling, Push Your Luck, Set Collection"
Four Battles of the Ancient World,1992.0,1,2,60,10,130,6.2,9619,1.9,326.0,"Dice Rolling, Hexagon Grid, Simulation"
Lincoln's War,2013.0,1,4,180,0,103,6.34,9620,3.11,517.0,Campaign / Battle Card Driven
Ikonikus,2013.0,2,8,15,7,245,5.99,9621,1.2,530.0,
DC Comics Dice Masters: Justice Campaign Box,2019.0,2,2,30,13,38,7.96,9622,0.0,135.0,"Deck Bag and Pool Building, Dice Rolling, Variable Player Powers"
Der HeidelBÄR,2009.0,3,6,20,10,96,6.45,9623,1.14,182.0,"Acting, Communication Limits"
Port Royal,2000.0,3,4,60,10,128,6.18,9624,2.36,303.0,Trick-taking
NecronomiCards,2016.0,2,4,45,10,112,6.8,9625,2.0,296.0,"Hand Management, Pattern Recognition, Set Collection"
Marrakesh,1978.0,2,2,45,0,60,6.95,9626,2.0,101.0,"Dice Rolling, Simultaneous Action Selection"
Advanced Tobruk System Basic Game 1a: Screaming Eagles,2005.0,2,2,60,12,64,7.0,9627,2.4,195.0,"Hexagon Grid, Simulation"
Warlord,2004.0,2,8,90,12,64,7.11,9628,2.79,138.0,"Action Points, Dice Rolling, Variable Phase Order"
Radiant: Offline Battle Arena,2019.0,2,2,50,13,67,8.05,9629,3.0,139.0,Card Drafting
Alien Menace,2011.0,2,2,30,12,94,6.43,9630,1.8,193.0,"Auction/Bidding, Hand Management, Modular Board, Tile Placement"
The Hardest Days,2011.0,1,1,240,12,43,7.51,9631,2.67,235.0,"Hexagon Grid, Solo / Solitaire Game"
Manno Monster,2013.0,2,4,25,8,103,6.42,9632,1.57,145.0,"Memory, Pattern Building"
Hungarian Rhapsody: The Eastern Front in Hungary,2020.0,1,2,240,0,44,8.17,9633,4.5,291.0,"Dice Rolling, Grid Movement, Hexagon Grid, Simulation, Zone of Control"
Volta,2003.0,2,4,5,6,52,7.11,9634,1.0,55.0,
Assyrian Wars,2005.0,2,5,240,12,105,6.45,9635,4.04,385.0,"Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement"
After the Holocaust: The Nuclear Devastation of America - Recovery and Reunification,1977.0,3,5,180,12,166,6.06,9636,4.03,498.0,Hexagon Grid
Assassin's Creed: Brotherhood of Venice,2021.0,1,4,120,12,91,8.78,9637,3.0,130.0,"Action Points, Cooperative Game, Events, Modular Board, Multiple Maps, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Storytelling, Variable Player Powers"
Kampen om Norge,2012.0,2,3,180,12,57,7.54,9638,2.5,129.0,"Area Majority / Influence, Area Movement, Dice Rolling, Hand Management, Team-Based Game"
Deadlands: The Great Rail Wars,1997.0,2,6,120,10,74,6.81,9639,3.0,207.0,"Dice Rolling, Paper-and-Pencil, Simulation"
Pulp Detective,2018.0,1,2,30,14,531,5.77,9640,1.56,1745.0,"Card Drafting, Dice Rolling, Push Your Luck, Time Track"
Mole Hill,1997.0,2,2,15,8,200,5.99,9641,1.71,340.0,"Enclosure, Variable Player Powers"
Oni,2014.0,3,6,30,8,95,6.49,9642,1.63,264.0,"Memory, Simultaneous Action Selection"
Deluxe G.E.V.,2001.0,2,2,30,10,45,7.51,9643,2.5,111.0,Hexagon Grid
A Song of Ice & Fire: Tabletop Miniatures Game - Free Folk Starter Set,2018.0,2,2,60,14,32,8.69,9644,0.0,172.0,"Dice Rolling, Hand Management"
Tri-Ba-Lance,1995.0,2,3,10,10,93,6.46,9645,1.5,184.0,
*Star,1999.0,2,2,0,10,38,7.67,9646,3.8,49.0,Connections
Australian Railways,2004.0,3,5,120,12,56,7.07,9647,3.2,143.0,Pick-up and Deliver
Dragon Face,2011.0,2,2,20,8,77,6.82,9648,2.56,187.0,
Les Rois Francs,2011.0,2,2,60,0,65,6.91,9649,1.58,217.0,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Simulation, Zone of Control"
Breaking Bad: The Board Game,2017.0,3,8,120,18,218,6.79,9650,2.56,567.0,"Action Points, Alliances, Betting and Bluffing, Catch the Leader, Hand Management, Interrupts, Lose a Turn, Negotiation, Ownership, Player Elimination, Push Your Luck, Race, Role Playing, Roles with Asymmetric Information, Take That, Variable Player Powers, Victory Points as a Resource"
Coerceo,2011.0,2,2,45,9,77,6.66,9651,3.33,124.0,Modular Board
Warmachine: High Command - Faith & Fortune,2014.0,2,4,45,12,69,6.87,9652,2.33,389.0,"Area Majority / Influence, Campaign / Battle Card Driven, Deck Bag and Pool Building, Hand Management, Player Elimination, Team-Based Game, Variable Player Powers"
Warzone: Universe Under Siege,2004.0,2,8,240,12,47,7.63,9653,3.6,81.0,"Action Points, Dice Rolling, Secret Unit Deployment, Variable Player Powers"
Dollars to Donuts,2020.0,1,4,45,8,59,7.51,9654,2.0,33.0,"Grid Coverage, Matching, Pattern Building, Set Collection, Square Grid, Tile Placement, Victory Points as a Resource"
Patton's First Victory: Tunisia,2010.0,1,2,120,12,54,7.1,9655,2.0,181.0,"Dice Rolling, Hexagon Grid"
Warhammer: Age of Sigmar - The Rise & Fall of Anvalor,2019.0,1,4,60,14,79,6.98,9656,2.25,208.0,"Dice Rolling, Hand Management, Tile Placement, Variable Player Powers"
Storm Over Scandinavia,1998.0,1,4,480,12,54,7.38,9657,4.11,274.0,"Dice Rolling, Hexagon Grid, Simulation"
Dice Throne: Season One ReRolled - Treant v. Ninja,2020.0,2,2,40,8,32,8.2,9658,1.67,197.0,"Dice Rolling, Take That, Variable Player Powers"
Vejen,2019.0,2,4,120,12,116,6.47,9659,3.36,159.0,"Network and Route Building, Pick-up and Deliver, Trading"
Gorbachev: The Fall of Communism,2018.0,1,1,60,12,43,7.73,9660,2.0,110.0,"Area Majority / Influence, Area Movement, Dice Rolling, Simulation, Solo / Solitaire Game"
Crime Zoom: Sa dernière carte,2020.0,1,6,60,14,42,7.6,9661,2.0,79.0,"Cooperative Game, Narrative Choice / Paragraph, Storytelling"
The African Campaign,1973.0,1,2,120,12,106,6.52,9662,2.48,294.0,"Dice Rolling, Hexagon Grid, Ratio / Combat Results Table, Simulation, Zone of Control"
22 Pommes,2009.0,2,2,15,10,164,6.08,9663,1.35,261.0,"Point to Point Movement, Set Collection"
Fafnir,2019.0,2,4,20,9,96,6.47,9664,2.0,249.0,Auction/Bidding
