name,year_published,min_players,max_players,play_time,min_age,users_rated,rating_average,bgg_rank,complexity_average,owned_users,mechanics
Hand of Fate: Ordeals,2018.0,1,4,120,14,548,7.34,2868,3.0,1522.0,"Cooperative Game, Deck Bag and Pool Building, Modular Board, Team-Based Game"
Afrika: 2nd Edition,2006.0,2,2,360,14,404,7.56,2869,2.72,958.0,"Dice Rolling, Hexagon Grid, Simulation"
18EU,2001.0,2,6,300,14,375,7.59,2870,4.22,417.0,"Auction/Bidding, Network and Route Building, Stock Holding, Tile Placement"
War of the Worlds: The New Wave,2019.0,2,2,60,0,556,7.26,2871,2.22,1392.0,"Area Movement, Card Drafting, Deck Bag and Pool Building, Hand Management"
Tongiaki: Journey into the Unknown,2004.0,2,6,45,10,2285,6.23,2872,1.96,2643.0,"Area Majority / Influence, Point to Point Movement, Take That, Tile Placement"
Enchanters: Overlords,2018.0,2,4,60,14,425,7.55,2873,1.92,1474.0,"Card Drafting, Set Collection, Take That"
D100 Dungeon,2017.0,1,1,90,10,491,7.76,2874,2.86,1288.0,"Dice Rolling, Paper-and-Pencil, Role Playing, Solo / Solitaire Game"
If Wishes Were Fishes!,2007.0,2,5,45,10,1136,6.49,2875,1.95,1330.0,"Area Majority / Influence, Card Drafting, Commodity Speculation, Hand Management, Increase Value of Unchosen Resources"
Dungeons & Dragons: Waterdeep - Dungeon of the Mad Mage,2019.0,1,5,60,14,480,8.0,2876,2.41,1638.0,"Cooperative Game, Grid Movement, Modular Board, Role Playing, Solo / Solitaire Game, Variable Player Powers"
Quartz,2015.0,3,5,60,14,750,6.9,2877,1.24,1403.0,"Push Your Luck, Set Collection, Take That"
Valparaíso,2018.0,2,5,90,12,665,6.9,2878,2.84,1264.0,"Action Queue, Kill Steal, Point to Point Movement, Simultaneous Action Selection"
Wise and Otherwise,1997.0,2,6,45,12,972,6.65,2879,1.51,1659.0,"Paper-and-Pencil, Simultaneous Action Selection, Voting"
Sabotage,2019.0,2,4,90,10,433,7.46,2880,2.94,1465.0,"Action Queue, Dice Rolling, Grid Movement, Hidden Movement, Secret Unit Deployment, Simultaneous Action Selection, Team-Based Game, Variable Player Powers"
The Bucket King,2002.0,2,6,45,10,1551,6.33,2881,1.23,1361.0,"Hand Management, Take That"
Team Play,2015.0,3,6,30,8,602,6.95,2882,1.31,888.0,"Set Collection, Team-Based Game"
Risk: Game of Thrones,2015.0,2,7,240,18,1318,6.74,2883,2.82,3446.0,"Area Majority / Influence, Area Movement, Dice Rolling, Player Elimination"
Madame Ching,2014.0,2,4,45,8,1139,6.47,2884,2.16,1746.0,"Hand Management, Set Collection"
Codex: Card-Time Strategy - Core Set,2016.0,2,5,45,13,410,7.53,2885,3.45,828.0,"Deck Bag and Pool Building, Hand Management, Variable Player Powers"
Taluva Deluxe,2015.0,2,4,45,8,338,7.82,2886,2.38,648.0,"Modular Board, Tile Placement"
Legendary: Big Trouble in Little China,2016.0,2,5,60,14,604,7.08,2887,1.82,1820.0,"Card Drafting, Cooperative Game, Deck Bag and Pool Building"
Dungeons & Dragons Basic Game,2004.0,2,5,90,12,807,6.79,2888,3.04,1837.0,"Cooperative Game, Dice Rolling, Modular Board, Role Playing"
Wellington: The Peninsula War 1812-1814,2005.0,2,4,180,12,633,6.93,2889,3.22,1319.0,"Campaign / Battle Card Driven, Point to Point Movement"
Conquest of the Fallen Lands,2005.0,3,5,90,10,765,6.79,2890,2.36,919.0,"Enclosure, Modular Board"
Star Wars: Empire vs. Rebellion,2014.0,2,2,60,10,1691,6.32,2891,1.73,4146.0,"Deck Bag and Pool Building, Hand Management, Variable Player Powers"
Escape Room in a Box: The Werewolf Experiment,2016.0,2,8,90,13,520,7.15,2892,2.29,1125.0,"Cooperative Game, Paper-and-Pencil"
Starship Troopers,1976.0,1,2,120,12,1183,6.52,2893,3.11,3525.0,"Dice Rolling, Grid Movement, Hexagon Grid, Line of Sight, Movement Points, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Secret Unit Deployment, Simulation, Solo / Solitaire Game"
Carcassonne: Safari,2018.0,2,5,35,7,584,7.08,2894,1.85,1382.0,Tile Placement
Wacky Wacky West,1991.0,2,4,45,9,1735,6.29,2895,1.84,3150.0,"Tile Placement, Voting"
Survive: Space Attack!,2015.0,2,4,60,8,559,7.05,2896,2.14,1506.0,"Action Points, Dice Rolling, Map Reduction, Modular Board, Secret Unit Deployment"
Order of the Gilded Compass,2016.0,2,5,60,10,621,6.92,2897,2.23,1321.0,"Area Majority / Influence, Dice Rolling, Set Collection, Worker Placement with Dice Workers"
Aqua Romana,2005.0,2,4,60,8,1594,6.32,2898,2.17,2143.0,"Network and Route Building, Tile Placement"
"13 Minutes: The Cuban Missile Crisis, 1962",2017.0,2,2,13,10,1118,6.46,2899,2.02,2490.0,"Area Majority / Influence, Campaign / Battle Card Driven, Hand Management"
Leaping Lemmings,2010.0,2,6,72,13,1180,6.44,2900,1.83,1465.0,"Dice Rolling, Hand Management, Hexagon Grid, Push Your Luck, Take That"
Buccaneer,2006.0,3,5,30,8,1688,6.28,2901,1.59,2115.0,"Auction/Bidding, Memory"
Micropul,2004.0,1,2,30,9,784,6.77,2902,1.91,1122.0,"Hand Management, Modular Board, Pattern Building, Tile Placement"
Chai,2020.0,1,5,60,8,636,7.08,2903,1.62,1340.0,"Card Drafting, Contracts, Drafting, Race, Set Collection"
Nevsky: Teutons and Rus in Collision 1240-1242,2019.0,1,2,360,14,294,8.29,2904,3.75,1181.0,"Dice Rolling, Events, Minimap Resolution, Movement Points, Point to Point Movement, Simulation"
King of the Dice,2017.0,2,5,30,8,753,6.78,2905,1.05,1490.0,"Dice Rolling, Push Your Luck, Set Collection"
Tunisia,1995.0,2,2,360,16,384,7.76,2906,4.07,1063.0,"Dice Rolling, Hexagon Grid, Simulation"
Small Islands,2018.0,1,4,30,8,663,6.93,2907,2.04,863.0,"Push Your Luck, Solo / Solitaire Game, Tile Placement"
Bravo!,2019.0,1,6,20,8,457,7.34,2908,1.85,1163.0,Dice Rolling
Nuclear War,1965.0,2,6,60,10,2811,6.21,2909,1.44,4014.0,"Action Queue, Hand Management, Take That"
Triumvirate,2009.0,2,2,30,12,757,6.72,2910,1.93,1012.0,"Card Drafting, Trick-taking"
Ankh'or,2019.0,2,4,30,8,597,7.03,2911,1.82,1192.0,"Card Drafting, Pattern Building, Set Collection, Tile Placement"
Rocky Road à la Mode,2017.0,2,4,30,10,729,6.77,2912,1.83,1533.0,"Card Drafting, Set Collection, Time Track"
Battle for Germany,1975.0,2,4,180,12,533,7.14,2913,2.11,1169.0,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Simulation, Zone of Control"
Sherlock Holmes Consulting Detective: The Baker Street Irregulars,2020.0,1,8,90,14,261,8.54,2914,2.25,1282.0,"Cooperative Game, Storytelling"
Goldbräu,2004.0,3,4,60,10,1267,6.41,2915,2.52,1778.0,"Area Majority / Influence, Simultaneous Action Selection, Stock Holding"
Beowulf: The Movie Board Game,2007.0,2,4,60,10,1543,6.38,2916,2.13,2672.0,"Hand Management, Tile Placement"
Bring Your Own Book,2015.0,3,8,20,12,668,6.87,2917,1.13,1684.0,"Hand Management, Player Judge, Simultaneous Action Selection"
Close Action: The Age of Fighting Sail Vol. 1,1997.0,2,30,240,12,365,7.83,2918,3.48,899.0,"Action Queue, Dice Rolling, Grid Movement, Hexagon Grid, Simulation, Simultaneous Action Selection"
Municipium,2008.0,2,4,60,10,800,6.68,2919,2.43,1271.0,"Area Majority / Influence, Point to Point Movement, Set Collection"
Bombay,2009.0,2,5,60,10,1667,6.3,2920,2.05,2101.0,"Action Points, Pick-up and Deliver, Point to Point Movement, Set Collection"
Dragon's Hoard,2014.0,2,4,45,8,1204,6.48,2921,1.43,2317.0,"Card Drafting, Hand Management, Set Collection"
DC Comics Dice Masters: War of Light,2015.0,2,2,60,14,474,7.3,2922,2.27,1295.0,"Deck Bag and Pool Building, Dice Rolling"
1906 San Francisco,2018.0,2,4,60,12,444,7.3,2923,2.29,820.0,Area Majority / Influence
Good & Bad Ghosts,1980.0,2,2,15,6,1419,6.36,2924,1.31,2011.0,"Grid Movement, Secret Unit Deployment"
OctoDice,2015.0,1,4,30,10,1069,6.5,2925,1.89,1786.0,"Dice Rolling, Paper-and-Pencil, Set Collection"
Cave Evil,2011.0,2,4,180,16,357,7.94,2926,3.44,656.0,"Area Movement, Hand Management, Modular Board"
"1066, Tears to Many Mothers",2018.0,1,2,60,12,566,7.15,2927,2.24,1452.0,"Hand Management, Solo / Solitaire Game"
Keltis: Der Weg der Steine Mitbringspiel,2009.0,2,4,15,7,1155,6.45,2928,1.26,1804.0,"Push Your Luck, Set Collection"
Micro Mutants: Evolution,2007.0,2,4,30,10,920,6.61,2929,1.43,1458.0,"Dice Rolling, Player Elimination, Variable Player Powers"
Amul,2019.0,3,8,45,10,590,6.99,2930,2.14,959.0,"Card Drafting, Contracts, Drafting, End Game Bonuses, Hand Management, Set Collection, Turn Order: Progressive, Turn Order: Stat-Based"
Lunarchitects,2016.0,1,5,60,13,451,7.29,2931,2.64,705.0,"Grid Movement, Rondel, Set Collection, Tile Placement, Time Track, Variable Phase Order"
Summit: The Board Game,2017.0,1,6,180,14,631,7.18,2932,2.3,1294.0,"Area Majority / Influence, Cooperative Game, Dice Rolling, Grid Movement, Network and Route Building, Player Elimination, Point to Point Movement, Push Your Luck, Take That, Tile Placement, Variable Phase Order, Variable Player Powers"
Noah,2012.0,2,5,30,7,1099,6.51,2933,1.34,1719.0,Hand Management
Doodle Quest,2014.0,1,4,15,6,758,6.72,2934,1.09,1328.0,Line Drawing
Pax Emancipation,2018.0,1,3,120,14,352,7.65,2935,4.47,1375.0,"Action Points, Card Drafting, Cooperative Game, Deck Bag and Pool Building, Dice Rolling, End Game Bonuses, Semi-Cooperative Game, Solo / Solitaire Game, Variable Player Powers, Worker Placement"
Mr. Cabbagehead's Garden,2016.0,1,2,20,10,488,7.21,2936,1.71,1172.0,"Card Drafting, Pattern Recognition, Push Your Luck, Set Collection, Solo / Solitaire Game"
Vs System,2004.0,2,2,15,10,811,6.77,2937,2.6,1269.0,Hand Management
Glorantha: The Gods War,2019.0,3,4,120,14,333,8.11,2938,3.43,606.0,"Action Points, Area Movement, Catch the Leader, Dice Rolling, Variable Player Powers"
Magnastorm,2018.0,2,4,100,12,698,6.84,2939,3.11,1464.0,"Area Movement, Worker Placement"
Sonora,2020.0,1,4,45,10,486,7.24,2940,2.3,1218.0,"Action Points, Area Majority / Influence, Chaining, Enclosure, Flicking, Network and Route Building, Paper-and-Pencil, Set Collection"
Railways of Nippon,2018.0,2,4,120,12,338,7.72,2941,2.6,967.0,"Auction/Bidding, Network and Route Building, Pick-up and Deliver"
Dungeon Mayhem: Monster Madness,2020.0,2,6,10,8,371,7.76,2942,1.14,1331.0,"Hand Management, Player Elimination, Variable Player Powers"
Deckscape: The Mystery of Eldorado,2018.0,1,6,90,12,925,6.59,2943,1.86,1847.0,"Cooperative Game, Memory"
Dark Souls: The Card Game,2018.0,1,4,60,12,766,6.98,2944,2.56,1902.0,"Cooperative Game, Deck Bag and Pool Building, Hand Management, Solo / Solitaire Game"
Compatibility,1996.0,3,6,30,12,1123,6.52,2945,1.12,1624.0,"Simultaneous Action Selection, Team-Based Game"
Clippers,2002.0,2,5,90,10,928,6.59,2946,2.62,1180.0,Network and Route Building
"Warhammer 40,000 (Eighth Edition)",2017.0,2,12,180,12,370,7.7,2947,3.41,781.0,"Action Points, Dice Rolling, Point to Point Movement, Variable Player Powers"
13 Clues,2016.0,2,6,30,8,714,6.78,2948,1.93,1309.0,"Action Points, Hand Management, Memory"
Dungeons & Dragons Dice Masters: Faerûn Under Siege,2016.0,2,2,60,14,387,7.59,2949,2.4,1021.0,"Deck Bag and Pool Building, Dice Rolling, Variable Player Powers"
Catan Geographies: Germany,2008.0,3,4,60,10,659,6.88,2950,2.38,1256.0,"Dice Rolling, Hand Management, Memory, Network and Route Building, Trading"
Campaign Trail,2019.0,1,6,115,12,360,7.82,2951,2.8,625.0,"Area Majority / Influence, Area Movement, Campaign / Battle Card Driven, Hand Management, Team-Based Game, Variable Player Powers"
Great War Commander,2018.0,2,3,120,12,300,8.39,2952,3.12,832.0,"Campaign / Battle Card Driven, Dice Rolling, Grid Movement, Hexagon Grid, Simulation, Variable Phase Order"
Pendulum,2020.0,1,5,90,12,807,6.73,2953,2.86,2394.0,"Action Timer, Simultaneous Action Selection, Variable Player Powers, Worker Placement, Worker Placement, Different Worker Types"
Cockroach Salad,2007.0,2,6,20,6,2610,6.16,2954,1.15,4655.0,Pattern Recognition
Cities,2008.0,1,4,30,8,1172,6.41,2955,1.66,1529.0,"Pattern Building, Tile Placement"
Kaleidos,1994.0,2,12,60,10,799,6.71,2956,1.25,1229.0,Pattern Recognition
Advanced Squad Leader: Starter Kit Expansion Pack #1,2011.0,2,2,480,14,292,8.28,2957,3.63,1189.0,"Dice Rolling, Hexagon Grid"
Agility,2016.0,2,2,45,10,542,7.08,2958,2.1,1072.0,"Card Drafting, Hand Management, Rondel"
Stellar,2020.0,2,2,30,8,389,7.6,2959,2.08,1046.0,Hand Management
Xi'an,2017.0,2,4,60,14,455,7.28,2960,2.73,898.0,"Area Majority / Influence, Hand Management, Set Collection, Simultaneous Action Selection, Worker Placement"
Mai-Star,2010.0,3,6,30,14,1041,6.53,2961,1.9,1680.0,"Hand Management, Variable Player Powers"
War of the Ring,1977.0,2,3,180,12,946,6.66,2962,3.47,2192.0,"Area Majority / Influence, Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Simulation, Variable Player Powers"
Munchkin Adventure Time,2014.0,3,6,120,10,1562,6.48,2963,1.89,4596.0,"Dice Rolling, Hand Management, Take That, Variable Player Powers"
Meeple War,2016.0,2,4,60,10,856,6.64,2964,2.74,1886.0,"Area Majority / Influence, Area Movement, Modular Board, Worker Placement"
The Dragon & Flagon,2016.0,2,8,60,10,1169,6.45,2965,2.39,2025.0,"Action Queue, Grid Movement, Simultaneous Action Selection, Time Track, Variable Player Powers, Variable Set-up"
Burger Up,2016.0,2,4,30,9,731,6.87,2966,1.67,1332.0,"Hand Management, Pattern Building, Tile Placement"
Song of Blades and Heroes: Revised Edition,2007.0,2,6,45,12,371,7.77,2967,2.23,744.0,"Action Points, Dice Rolling, Push Your Luck, Variable Phase Order, Variable Player Powers"
TEAM3 GREEN,2019.0,3,6,30,14,525,7.11,2968,1.17,1019.0,Team-Based Game
Posthuman,2015.0,1,4,120,13,1201,6.51,2969,3.17,2925.0,"Dice Rolling, Modular Board, Role Playing, Team-Based Game, Variable Player Powers"
Sakura Arms,2016.0,2,2,30,14,429,7.61,2970,2.87,929.0,"Action Points, Campaign / Battle Card Driven, Deck Construction, Hand Management, Relative Movement, Take That, Variable Player Powers"
Yardmaster,2014.0,2,5,20,8,1432,6.35,2971,1.23,2593.0,"Card Drafting, Hand Management, Set Collection"
Small Star Empires,2016.0,2,4,30,13,547,7.24,2972,2.0,1132.0,"Area Majority / Influence, Enclosure, Grid Movement, Modular Board"
Ace of Aces: Powerhouse Series,1981.0,2,2,20,12,471,7.27,2973,1.8,827.0,"Simulation, Simultaneous Action Selection"
Hearts and Minds: Vietnam 1965-1975,2010.0,2,2,180,12,381,7.5,2974,2.82,794.0,"Area Movement, Campaign / Battle Card Driven, Dice Rolling, Simulation"
Starship Samurai,2018.0,2,4,75,14,579,7.07,2975,2.5,1241.0,"Action Points, Area Majority / Influence, Area Movement, Hand Management, Set Collection, Take That, Variable Player Powers"
Mogul,2015.0,3,5,45,13,665,6.81,2976,2.05,895.0,"Auction/Bidding, Network and Route Building, Push Your Luck, Stock Holding"
Munchkin Zombies,2011.0,3,6,90,10,3143,6.22,2977,1.94,8890.0,"Dice Rolling, Hand Management, Variable Player Powers"
Firefly Adventures: Brigands and Browncoats,2018.0,1,5,120,14,605,7.09,2978,2.75,2229.0,"Cooperative Game, Role Playing, Time Track, Variable Player Powers"
Sewer Pirats,2012.0,2,5,60,10,876,6.62,2979,2.15,1667.0,"Card Drafting, Set Collection, Variable Player Powers"
The Siege of Jerusalem (Third Edition),1989.0,1,2,300,12,552,7.09,2980,3.88,1537.0,"Dice Rolling, Hexagon Grid, Solo / Solitaire Game"
Pylos,1993.0,2,2,10,8,1645,6.32,2981,1.96,2519.0,"Hand Management, Pattern Building"
British Rails,1984.0,2,6,180,12,660,6.92,2982,2.57,1175.0,"Crayon Rail System, Network and Route Building, Pick-up and Deliver"
Battle Hymn,1986.0,1,1,240,12,412,7.53,2983,3.27,1209.0,"Dice Rolling, Events, Grid Movement, Hexagon Grid, Line of Sight, Movement Points, Paper-and-Pencil, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Simulation, Solo / Solitaire Game"
Nautilus,2002.0,2,4,120,12,1384,6.38,2984,2.66,2585.0,"Set Collection, Tile Placement"
Histrio,2016.0,2,5,40,10,953,6.58,2985,2.06,2164.0,"Action Queue, Hand Management, Simultaneous Action Selection"
Metallum,2013.0,2,2,60,10,499,7.14,2986,2.73,909.0,"Action Queue, Area Majority / Influence, Card Drafting, Modular Board, Simultaneous Action Selection"
Liberty: The American Revolution 1775-83,2003.0,2,2,180,12,486,7.2,2987,2.65,867.0,"Action Points, Dice Rolling, Hexagon Grid, Secret Unit Deployment, Simulation"
Time's Up! Academy,2009.0,4,12,30,12,459,7.23,2988,1.07,966.0,"Acting, Communication Limits, Memory, Team-Based Game"
Tail Feathers,2015.0,2,4,90,9,619,7.07,2989,3.04,3282.0,"Action Queue, Dice Rolling"
Traditional Card Games,0.0,0,0,0,0,885,6.61,2990,1.95,1608.0,
The Cousins' War,2017.0,2,2,30,12,485,7.23,2991,2.07,908.0,"Area Majority / Influence, Campaign / Battle Card Driven, Dice Rolling"
Tally Ho!,1973.0,2,2,30,8,2717,6.14,2992,1.49,3997.0,Grid Movement
Darwin's Journey,2021.0,1,4,120,14,325,7.95,2993,3.74,277.0,"Contracts, Point to Point Movement, Set Collection, Turn Order: Stat-Based, Variable Set-up, Worker Placement, Different Worker Types"
Marvel Dice Masters: Civil War,2016.0,2,2,60,14,434,7.33,2994,2.67,1327.0,"Deck Bag and Pool Building, Dice Rolling, Variable Player Powers"
Riichi Mahjong,0.0,4,4,120,8,306,8.36,2995,3.33,334.0,"Betting and Bluffing, Hand Management, Set Collection"
Roll for Adventure,2018.0,2,4,30,10,697,6.84,2996,2.1,1408.0,"Cooperative Game, Dice Rolling"
Attack on Titan: Deck-Building Game,2016.0,1,5,90,15,636,6.99,2997,2.22,1416.0,"Cooperative Game, Deck Bag and Pool Building"
Funkoverse Strategy Game: Harry Potter 100,2019.0,2,4,60,10,629,6.96,2998,2.25,2985.0,"Action Points, Dice Rolling, Grid Movement, Variable Player Powers"
Andromeda,1999.0,3,5,60,10,1285,6.38,2999,2.23,1839.0,"Area Majority / Influence, Set Collection, Trading"
Rescue Polar Bears: Data & Temperature,2017.0,1,4,60,8,458,7.24,3000,2.33,983.0,"Action Points, Cooperative Game, Modular Board"
"Win, Place & Show",1966.0,3,6,120,8,823,6.71,3001,2.08,1762.0,"Betting and Bluffing, Dice Rolling, Roll / Spin and Move"
Il Principe,2005.0,2,5,60,10,1180,6.42,3002,2.83,2012.0,"Area Majority / Influence, Auction/Bidding, Hand Management, Set Collection"
Among the Stars: Revival,2015.0,2,6,30,12,444,7.2,3003,2.29,2082.0,"Card Drafting, Simultaneous Action Selection, Tile Placement, Variable Phase Order"
Dungeons & Dragons: Attack Wing,2014.0,2,99,30,14,544,7.22,3004,2.94,1534.0,"Action Queue, Dice Rolling, Simultaneous Action Selection"
Ponte del Diavolo,2007.0,2,2,25,10,1075,6.49,3005,2.37,1411.0,"Square Grid, Tile Placement"
Kingdom of Solomon,2012.0,2,4,60,12,594,6.94,3006,2.76,912.0,"Area Majority / Influence, Commodity Speculation, Enclosure, Network and Route Building, Variable Phase Order, Worker Placement"
Great Wall of China,2006.0,2,5,30,10,2026,6.2,3007,1.86,2747.0,"Area Majority / Influence, Hand Management"
Trekking the National Parks,2014.0,2,6,60,8,575,7.03,3008,1.69,1089.0,"Card Drafting, Hand Management, Point to Point Movement, Set Collection"
Nuclear Escalation,1983.0,2,6,30,10,946,6.58,3009,1.6,1786.0,"Hand Management, Take That"
Cosmic Encounter,2000.0,2,4,60,12,1275,6.41,3010,2.3,2386.0,Variable Player Powers
City Tycoon,2011.0,2,5,120,10,959,6.52,3011,2.81,1111.0,"Card Drafting, Pattern Building, Pick-up and Deliver, Tile Placement"
Risk: Godstorm,2004.0,2,5,120,10,2455,6.27,3012,2.69,5029.0,"Area Majority / Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling, Player Elimination"
Rangers of Shadow Deep,2018.0,1,4,120,12,306,8.73,3013,2.11,777.0,"Action Points, Cooperative Game, Dice Rolling, Role Playing, Variable Player Powers"
Codenames: Harry Potter,2018.0,2,2,15,0,729,6.79,3014,1.63,2492.0,"Communication Limits, Cooperative Game, Push Your Luck"
India Rails,1998.0,2,6,180,12,540,7.08,3015,2.61,1082.0,"Action Queue, Crayon Rail System, Network and Route Building, Pick-up and Deliver"
France '40,2013.0,2,2,240,12,336,7.74,3016,2.93,940.0,Hexagon Grid
Court of the Medici,2009.0,2,2,25,12,876,6.58,3017,1.91,1403.0,Hand Management
Tavarua,2016.0,1,6,60,13,488,7.19,3018,2.27,792.0,"Hand Management, Push Your Luck, Simultaneous Action Selection"
Maharani,2012.0,2,4,40,8,883,6.58,3019,2.0,2097.0,"Pattern Building, Set Collection, Tile Placement"
Sharp Shooters,1994.0,2,6,10,10,1208,6.42,3020,1.25,2161.0,"Dice Rolling, Push Your Luck"
Rattlebones,2014.0,2,4,30,14,989,6.5,3021,1.56,1672.0,"Deck Bag and Pool Building, Dice Rolling, Modular Board, Roll / Spin and Move"
Speculation,1992.0,3,6,45,10,764,6.68,3022,2.0,1109.0,"Commodity Speculation, Dice Rolling, Hand Management, Memory, Stock Holding"
Zero!,2001.0,2,10,60,12,594,6.94,3023,2.29,1296.0,"Campaign / Battle Card Driven, Card Drafting, Hand Management, Scenario / Mission / Campaign Game"
Bamboleo,1996.0,2,7,30,6,1397,6.35,3024,1.2,1396.0,Push Your Luck
Melee,1977.0,2,2,15,10,660,7.3,3025,2.29,1244.0,"Dice Rolling, Grid Movement, Hexagon Grid, Line of Sight, Scenario / Mission / Campaign Game, Simulation, Variable Player Powers"
Abandon All Artichokes,2020.0,2,4,20,10,523,7.12,3026,1.5,1252.0,"Card Drafting, Deck Bag and Pool Building"
Quartermaster General: Victory or Death - The Peloponnesian War,2016.0,2,4,120,12,459,7.22,3027,2.53,792.0,"Area Majority / Influence, Campaign / Battle Card Driven, Hand Management"
Utopia Engine,2010.0,1,1,60,0,751,6.9,3028,2.05,1520.0,"Dice Rolling, Paper-and-Pencil, Solo / Solitaire Game, Time Track"
Cairn,2019.0,2,2,25,10,383,7.58,3029,1.63,854.0,"Grid Movement, Tile Placement"
Monikers: Shmonikers,2015.0,4,20,60,18,279,8.04,3030,1.0,1292.0,"Acting, Card Drafting, Role Playing"
Cry Havoc,1981.0,2,6,240,12,700,6.86,3031,2.27,1262.0,"Dice Rolling, Grid Movement, Hexagon Grid, Line of Sight, Modular Board, Movement Points, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Simulation"
Lanterns Dice: Lights in the Sky,2019.0,2,4,45,10,573,6.97,3032,2.0,1572.0,"Dice Rolling, Paper-and-Pencil, Pattern Building"
Mistfall: Heart of the Mists,2016.0,1,4,120,14,423,7.43,3033,4.11,1816.0,"Cooperative Game, Deck Bag and Pool Building, Hand Management, Modular Board, Variable Player Powers"
Malifaux,2009.0,2,2,120,0,416,7.51,3034,3.31,752.0,"Hand Management, Variable Player Powers"
Battle Masters,1992.0,2,2,60,9,2179,6.28,3035,1.87,4024.0,"Chit-Pull System, Dice Rolling, Die Icon Resolution, Grid Movement, Hexagon Grid, Turn Order: Random, Variable Phase Order, Variable Player Powers"
Impact: Battle of Elements,2018.0,2,5,15,8,782,6.69,3036,1.03,1400.0,"Dice Rolling, Player Elimination"
Here Come the Rebels,1993.0,2,2,180,12,350,7.68,3037,3.38,1056.0,"Dice Rolling, Hexagon Grid"
Illuminati,1982.0,2,6,120,12,2649,6.2,3038,2.48,4033.0,Hand Management
Deckscape: The Fate of London,2017.0,1,6,60,12,1511,6.29,3039,2.08,2751.0,"Cooperative Game, Solo / Solitaire Game"
Patchwork Express,2018.0,2,2,10,6,571,7.01,3040,1.64,1352.0,"Card Drafting, Grid Coverage, Square Grid, Tile Placement, Time Track, Victory Points as a Resource"
Kingdom Defenders,2018.0,2,4,90,12,353,7.76,3041,3.13,436.0,"Modular Board, Set Collection, Worker Placement"
Tanto Cuore: Romantic Vacation,2010.0,2,4,30,12,405,7.51,3042,2.48,1298.0,"Card Drafting, Deck Bag and Pool Building, Hand Management"
Time's Up! Family,2010.0,4,12,30,8,518,7.05,3043,1.08,1256.0,"Acting, Communication Limits, Memory, Team-Based Game"
Eketorp,2003.0,3,6,60,8,1308,6.36,3044,2.08,1912.0,"Action Queue, Hand Management, Secret Unit Deployment, Simultaneous Action Selection, Worker Placement"
Ruhrschifffahrt 1769-1890,2012.0,2,4,120,12,442,7.22,3045,3.5,643.0,"Pick-up and Deliver, Worker Placement"
Captains of Industry,2015.0,3,5,150,13,515,7.08,3046,3.78,1212.0,"Area Majority / Influence, Commodity Speculation"
504,2015.0,2,4,120,12,1506,6.3,3047,3.47,3627.0,"Area Majority / Influence, Area Movement, Auction/Bidding, Commodity Speculation, Dice Rolling, Enclosure, Grid Movement, Hexagon Grid, Modular Board, Network and Route Building, Pick-up and Deliver, Player Elimination, Point to Point Movement, Set Collection, Stock Holding, Take That, Tile Placement, Variable Phase Order"
DOG,1997.0,2,6,45,9,1371,6.37,3048,1.46,1928.0,"Hand Management, Movement Points, Take That, Team-Based Game"
Havoc: The Hundred Years War,2005.0,2,6,60,10,753,6.68,3049,2.14,858.0,"Card Drafting, Hand Management"
X-ODUS: Rise of the Corruption,2020.0,1,4,150,14,388,8.14,3050,3.3,964.0,"Cooperative Game, Dice Rolling, Modular Board"
Ur,2006.0,3,4,45,10,959,6.5,3051,3.08,1214.0,"Action Points, Enclosure, Modular Board, Set Collection, Tile Placement"
Emerald,2002.0,2,5,45,10,1297,6.35,3052,1.68,1608.0,"Dice Rolling, Roll / Spin and Move, Set Collection"
Atlantis Rising,2012.0,2,6,90,10,943,6.54,3053,2.53,1196.0,"Cooperative Game, Dice Rolling, Push Your Luck, Variable Player Powers, Worker Placement"
Way of the Panda,2018.0,2,4,90,14,601,6.93,3054,3.45,1640.0,Worker Placement
Alcatraz: The Scapegoat,2011.0,3,4,60,15,1433,6.33,3055,2.34,1852.0,"Action Points, Grid Movement, Modular Board, Pick-up and Deliver, Set Collection, Single Loser Game, Trading, Voting"
Early American Chrononauts,2004.0,1,6,45,11,902,6.61,3056,1.86,2177.0,Modular Board
11 nimmt!,2010.0,2,7,30,8,1468,6.3,3057,1.21,2206.0,Hand Management
Evolution: The Origin of Species,2010.0,2,4,60,12,1923,6.29,3058,2.07,2489.0,"Dice Rolling, Hand Management"
Das Motorsportspiel,1995.0,2,12,120,10,374,7.45,3059,2.0,490.0,"Roll / Spin and Move, Simulation"
Luchador! Mexican Wrestling Dice,2013.0,2,6,15,8,1128,6.46,3060,1.22,1968.0,"Dice Rolling, Push Your Luck, Team-Based Game"
VektoRace,2018.0,2,4,120,12,355,8.09,3061,2.15,583.0,"Action Queue, Measurement Movement, Movement Template, Race, Simulation"
